essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	7.1=8.1	7.2=8.2	"7.3=8.4,8.5"	7.4=8.6
17845	7	You know that life is so much harder when you don’t have the patients. If you don’t then I’m going to tell you why. There was a time that found out I was going to @LOCATION1 now that’s the good part but when I ask “how are we getting there?” we had to fly and right then and there I knew I was going to have to be very patient and I thought I didn’t have enough patients to fly to @LOCATION1. Although I got through it. Now the worst thing was when I got to @LOCATION1 it was very hot out. We had to stand outside to wait for the bus. It got so hot that I lost all my patients and got so angry at everyone that I thought I was going to blow up! Only because I didn’t want to wait for the ride anymore. Haha I came to my sences and I start out it was why easier to wait and the bus eventaly showed up and I already felt way better.	8	8	good	16				2	2	2	2	2	2	2	2	2	2	2	2
17846	7	"One nice sunny day I was traped in a doctors office with no air conditioning. this doctor’s office had @NUM1 chairs in the dirty waiting room. I was already cramed in the room with about @NUM2 people for @NUM3 minutes. I was trying to be patient but the patience was wearing off. Sweat dripped of of my face on to my black @PERSON1 short-@CAPS1 shirt. I was starting to get hot and mad, but I kept my patience. I know if I was going to get mad even more, it wouldnt help or make the time faster. Then all of a sudden, “creeeeeck,” the door opened. A tall white woman with green schrubs on said, “@CAPS2.”"	9	10	good	19				2	2	3	2	2	2	3	3	2	2	3	2.5
17847	7	"A time I was patient was @DATE1, when I was in line to ride the dragster in @CAPS1 point. I was super hot day, I was at @CAPS1 point with my best friend and we were geting ready to get on the dragster. The line is about an hour long and the sun is beating down on you so to me it felt like forever. Just as we were about to go on the ride they steped us because the ride wasen’t working right. So we had to wait another @NUM1 mins. Luckly my best firend and I had good patients unlike some of the other people who stormed out of there in the first five minutes. We waited and got on the ride and it was one of the most fun experences of my life. “I’m so happy we waited” said @PERSON1 my best firend. Some people have patient like  @PERSON1 and I, and some don’t like the the people who ran of there. I’m glade we waited or that would not have happened. In this case patient was a great thing for @PERSON1 and I."	9	8	good	17				2	2	2	3	2	2	2	2	2	2	2	2.5
17849	7	"One day, my soccer team was in the chamionchip game in we facing the lions. At the start of the game I was on the bench I was the worst on my team. After the @DATE1 we were up @NUM1 but my coach still put me on the bench and I just sat there and cheered for my. The next to quarters went by and it was tie game @NUM2. Half way through the @DATE2 are star player got hurt so coach put me in. I had no due what do I was just chassing the ball. With one minute left I was standing by their goalie and one of my team mates shot the ball zinged through the air and hit me in the foot. The ball redirected into the goal my team started to cheer we were up @NUM3. After the @DATE2 minute was done and horned went off and every one cheered again and lifted me up. That’s how patience helped me."	6	8	good	14				1	2	2	1	2	2	2	2	1.5	2	2	1.5
17850	7	"This is about a story I was patient I was on an @LOCATION1 “@LOCATION1, so this is what happen on the @LOCATION1. I was standing in line on ordered some sausages, eggs, pancakes atia syrup, has browns and orange jucie and take my cool derille sitting a man with a steak for his head and order something and sits down, and I get mad a little the I’m still patient okay but then I’m really mad because geating steak head get’s his before mine and walked in here first.  So then I cool down because a nice cute girl walks in order’s and comes and sit’s down where I were sitting then a old think there goding and hip, they and they order sit down. Finally, the girl and I finally get a food and show the old people hip is we challenged them to surf contest but the main in to sit and wait and be patient even through it @NUM1 in the @TIME1."	5	7	good	12				2	1	1	1	2	2	1	2	2	1.5	1	1.5
17851	7	"Tick, tock, tick, tock. Being patient is hard for some people but easy for others. I’m not a very patient person. I’ll tell about a time when I was patient. (the only time) One time me my mom and my sister we went to the docter because my sister had a docters appointment. I asked my mom how long it was gonna be and she said “about @NUM1 min.” @CAPS1 I said ok. @CAPS1 we arrived and she asked if I wanted to come inside and I said no I’ll wait in the car. @CAPS1 I was inside of the car waiting and I got boare  and turned  the music on and this was ??? about @NUM2 or @NUM3 in. About @NUM4 later I got tired of listening to music. @CAPS1 I tried to fall asleep. That didn’t work @CAPS1 I went outside to stretch because my arms and legs were tight. It was @NUM5 and my mom and sister come walking. Thats a time I was patient."	8	8	good	16				2	2	2	2	2	2	2	2	2	2	2	2
17852	7	"One day @CAPS1 went to school pretty earlie in the @TIME1. He went is just ?? if it were a normal day, and goes to his star class in the @NUM1 grade. He chated with his friends all star and then class was over. Then he goes to @NUM2 hour science and there is a lab with partners. @CAPS3 him and @PERSON2 decide to be partners. Half way through the lab they dont know what to do. @CAPS3 @CAPS1 goes up to the teacher and interupts her and another student. @CAPS3 the teacher says ill be with you in a moment, but he continues to bug her. @CAPS3 he got a step. Then later that day he was in @CAPS2 and was working on a work sheet but the teacher was writing with the principal. @CAPS3 he decided to wait for her to be done @CAPS3 he wouldn’t get in trouble, but it was taking much longer than expected @CAPS3 he noved th next problem’s. then the teach comes back and he got her help. @CAPS3 in conclusion @PERSON1 learned two lesson that day. One that you can get in trouble for being impatient and get a step. Two that if you are pollite and courtaeous in class and be patiet you can get the reward of getting a letter citizenship grade. Wich @PERSON1 did that day."	9	8	good	17				2	3	2	2	2	2	2	2	2	2.5	2	2
17853	7	I recall once a famous madican named @PERSON1 was prefering a stunt that took enourmous amounts of pateints and courage it was named “@CAPS1 In Time”. The madichian had to stay in a block of ice for @NUM1 day’s or @NUM2 hours! The great madichian had only a sweater. He had the consiled  ice open to public as the magnificent madichian said “I could bearly hear anything”. He waited hours on and like falling down on abyiss or bottomless pit. Until the final seconds ended. The madichian as finally free. And alive	8	8	good	16				2	2	2	2	2	2	2	2	2	2	2	2
17854	7	"One day, a few years ago, I woke up and my mom said we were going  to my grandma’s house. So started to get ready. After I was done getting dressed I looked on.  My dresser and grabbed my @MONEY2 @MONEY3 that I was saving up to buy something just incase we went to the store When we got there I saw my cousin’s dad @CAPS1 walking a puppy. I walked up to him and asked about the dog, he said it was his brothers dog and he was selling it. My mom said I could get a dog so I asked him how much did he coast. @CAPS1 said @MONEY1. I got really excited because I had @MONEY2 and could get @MONEY3 from my granding. So I called my mom but she was busy somewhere else but she told me that she wanted to see the dog before I buy him. So @CAPS1 waited their for hours but my mom took forever. Then finally I got impatience and bought him. But my wow wasn’t mad because she ended up liking him"	10	11	good	21				2	3	2	3	3	3	2	3	2.5	3	2	3
17856	7	"The time that I was patient was not long ago. It was a day of boredom and waiting. I went to a candy store to buy some candy, I wanted a lorry pop. The man told me to hold on when he was getting my candy. It was @NUM1 minutes until he brought me my candy. I was patient enough to wait for my candy. There was another day like that. It was at the cernical, I was at the end of the line waiting to get on a ride. There was a man who was arguing at the life gaurd instructer for not letting him on the ride. He was arguing for an half an hour. S was patient waiting for him to stop. I did not complane or argue about the man who was wasting our time."	6	8	good	14				1	1	2	2	1	2	2	3	1	1.5	2	2.5
17857	7	One day I was patient was when I tried out for volleyball. I had to be patient because the two coaches had to pick who was going to be on a team and if so which team. My friends and I waited patiently in the gum as the coaches told kids privately in the hallway. They had to do it privately because there are two teams the ‘A’ team and the ‘@CAPS1’ team. Finally there was about @NUM1 other girls still waiting I chose to go last because I thought I could handle the challenge of patience but I was wrong. The thrill of finding out was @CAPS2!  At last it was my turn I walked out into the hall and found out I was on the ‘@CAPS1’ team. Although it wasn’t the ‘A’ team I was still happy I didn’t get out. That was a day I had to be very patient.	9	9	good	18				2	2	2	3	2	2	2	3	2	2	2	3
17858	7	"A time that I was patient was last year at cheer competition. In the beginning of the day I was patient getting in line to get ready to perform. Once we were ready we were waiting to go to perform. After, we perfomed we went to watch the rest of the teams. The other teams were really good. Then are team went and had lunch while some of the teams were still performing. We had to wait til all the teams were done. Once the teams were done they called all the squads to the mat it was award time. All the teams sat down on the mat. My team members were waiting patiently to see if we worn in cheer or in dance. We waited… and waited… and waited till finally he called are name. The junior varsity cheer leader! We took first in dance and fourth in cheer. That day was a good day for me and I was very patient and being patient can turn out right or not the way you wanted it to be. You never now till it happens. That is a time when I was patient at cheer competition."	12	12	good	24				3	3	3	3	3	3	3	3	3	3	3	3
17859	7	"Im writing about the time I was patient at a @ORGANIZATION1 game. It was my birthday and my dad took me, to go to watch the @LOCATION1 vs. the @LOCATION2 huggets in @LOCATION1. We were in a huge traffic jam. The jam was caused by a wreck a couple miles ahead and everyone was trying to get to the game before it started. I was patient with the whole trip because the trip was about a @NUM1 ½ hours long. My dad, uncle, aunt and me were all kind of frustrated that it was taking so long, but I kept my cool and was able to make it through the @NUM1 ½  hour drive. When we got to the arena the @LOCATION1 and @CAPS1 were warming up and the game was about to begin. At the end of the day the @LOCATION1 ended up winning. That was the most best birthday ive ever had. Now I don’t think I could ever keep my cool like that again because I have a very short fuse now that in order. I will never forget that birthday again."	9	8	good	17				2	2	2	3	2	2	2	2	2	2	2	2.5
17860	7	Being patient? Being patient is very hard for me because I am bipolar and I have savere anger issues. My experience with being patient is when I lived with my foster family!!! They had grandkids that really annoyed me!!! My foster family had a different religion than me I am atheist. They are @CAPS1 and they would constantly tell me I am wrong!!! It made me very upset but I didn’t say nothing because I was being patient. And I hate it. With my anger problems im very surprised I didn’t go off on them? But yes patience does take practice lots and lots of practice. Because not everyone in this world is patient!!! Tolerance twords children… I don’t like kids to much but where I wed to live there were tons of little kids that were the grand kids of my foster family and I sued those kids are annoying but I had to tolerate them. Kids are very hard to tolerate and so are “guardian parents” they are the worst they tell you what to do and they aint even youre parents but I tolerated it.	8	8	good	16				2	2	2	2	2	2	2	2	2	2	2	2
17861	7	One when I was patient was when we were going of north. We had to pack but I was already done because I had packed the work before my family was packing still & I went to sit in the car because I was already ready I had nothing else to do when I went back inside the house they were almost done packing so I went to the bathroom when I got out they were finished packing. When we got going I had to wait for over @NUM1 hours to get where we were going but when we got there we had fun. The reason I used this as my example is because it took a lot of patience to get to mackinoc city from nbly. That day I learned a lot on how it is important to be patient.	8	8	good	16				2	2	2	2	2	2	2	2	2	2	2	2
17862	7	Patients is verey important. But I m not verey good with my patients. And when I am and I wait my turn I end up forgetting what I going to say. I guess I m not verey patient because my family is not verey patient. My family is not verey patient because we just want to say what were gona say before we forget it. Are family it also verey forgetful. That is probably another reason why we arnt patient. Patients is im portant because it helps you be more calm and it helps you wait turn. Thats all I know about patients.	5	4		9				1	1	1	2	1	1	1	1	1	1	1	1.5
17863	7	"Patience is when you can take your time at something. When your able to wait, not in a hurry pushing shuvinig  an rushing like some thing bad happen. Being patient also means that you are understanding when it come to tolerents and it when you are calm, cool, peace an love!!!"	3	3		6				0	1	1	1	0	1	1	1	0	1	1	1
17864	7	When I was patient. Was when I go down the river with my dad and my two sisters (@CAPS1 @MONEY1).The only way I'm patient is when my dad says we are going from north to @LOCATION1. So I have no chose to be patient because it is a two houre trip. But there is a train track brige that my dad least use @CAPS2 off of and tack a brake and eat some lunch and the brige is about one houre ride down the river if you realy all the way but whe just me and my dad go we just slot the hole way.	6	4		10				2	2	1	1	1	1	1	1	1.5	1.5	1	1
17865	7	"Patience? I am not a patient type of person. I am a @PERSON1 @CAPS1. He played in a @CAPS11 called @CAPS2 which l really wanted to @CAPS10. Which came out @DATE1. That l havent even seen yet until One day l was sitting in my porch where l asked my mom to @CAPS19 to @CAPS9 and @CAPS10 @CAPS2 that @DATE2 when she said ""wlc"" l was really upset because l wanted to @CAPS10 it really really bad. I was being very patient at the time. I had called my @CAPS4's, @CAPS5's, sister's and brother's to fave me. @CAPS14 they said they were busy so l cried myself to sleep. The next @NUM1 days my mom and dad was talking about going to the movies and out to dinner. I walked in screaming and yelling ""@CAPS6 ARE @CAPS7 @CAPS8 @CAPS9 AND @CAPS10 A @CAPS11 AND @CAPS12 @CAPS13 @CAPS14 @CAPS7 @CAPS16'@CAPS17 @CAPS9 @CAPS19 @CAPS7 OWN @CAPS21"" @CAPS22 I left out the room. The very next day my brother and his girlfriend went to @CAPS9 @CAPS10 it knowing l wanted to @CAPS9. They came home reasing me saying @CAPS6 good the @CAPS11 was. So that night l went down stairs to demand to @CAPS9 @CAPS10 ""@CAPS2"" saying "" I am being very patient with you all about taking me to @CAPS10 @CAPS2 @CAPS14 you all are pushing my buttons so l demand to @CAPS9 tomarrow"" @CAPS22 I waited @NUM2 second @CAPS22 she said that l could @CAPS9 this @DATE2. That was the very @NUM3 time that l was patient, and I'm proud of myself, I @CAPS16'@CAPS17 wait to @CAPS10 my @CAPS25 @PERSON1 @CAPS26"""	9	8		17				2	3	2	2	2	2	2	2	2	2.5	2	2
17867	7	"I am not a patient person at all. But sometimes I have to be like my birthday for instance, I would love it if my birthday came at least every month. But of course, I only have @NUM1 birthday a year, so I have to wait. I would like to be a patient person. It’s just not in the cards for me. My father on the other hand is more patient than anyone. I know he will tell me to clean the car @DATE1 I told him I didn’t do it yet so he says he will give me more time. I couldn’t be that patient with my kids. I would tell them to clean it now or they would be grounded. I wouldn’t force them to or anything but I’m not gonna wait a whole month before I get my car cleaned! I guess I could try to be as patient with my father but that would be really hard. Although if I’m “patient,” I’m sure I will be able to do it!"	8	8		16				2	2	2	2	2	2	2	2	2	2	2	2
17868	7	"Patience is when you are waiting for something to happen and you experience difficulties but you do not complain. My friend @PERSON2 is a patient person. Her and her brother are both very patient. Their dad has been gone for most of their lives fighting for our country. This is the story of the time @PERSON2 and her brother @PERSON1 were patient. When @PERSON1 was born his dad was @NUM1 years old. @PERSON1 dad had already applied fro the army. His dad has been their most of his life. Two years later @CAPS1 sister, my best friend was born. Their dad was with them til @CAPS2 exie was about @NUM2 I believe, but he left that year. @PERSON1 new why his dad was gone, but @PERSON2 is about a year behind because she has really bad A.D.H.D. so doesn’t know why she didn’t see or talk to her dad for about three years. When she turned about six years old she knew her dad was gone and that was the time @PERSON1 became to be in the in the army and also it was the time their dad was in the leg by a machete. When their came back for about a year, they spent a lot of time with him, and @PERSON2 is very fragile and he would try play with her and tickle her and it hurt @PERSON2 and she would scream “@CAPS3! @CAPS3!” but it didn’t work he would just keep going and acting like he didn’t hear her. @PERSON1 isn’t fragile at all, he loves his dad and so does she but she doesn’t like him as a person. She likes my dad more than hers because she sees him more and she thinks hes nicer. In conclusion I think @PERSON2 and @PERSON1 are very patient because they don’t know if they’ll ever see him again after he gets on that plane, and I’ve asked their mom and she says they never complain about missing their dad."	8	7		15				2	2	2	2	2	1	2	2	2	1.5	2	2
17869	7	Patience is an important thing. Patience is when you are understanding and tolerant. I have been patient many times. For instance when my mom uses the phone late till she gets of to talk to her. Before events like plays or movies you have to be patient until the movie are play begins. I am most patient during tests. Like this one the mean patience is very important. If you dont have patience to some people that is anrcoying. If i didnt have patience I would be a completely???person people would mind me very amount and every they would @CAPS1 get along with me so inside of bothering someone @CAPS2-stop be patient.	6	5		11				1	1	2	2	0	1	2	2	0.5	1	2	2
17870	7	"Long ago in the land of @LOCATION1 their was a young boy named @CAPS1.@CAPS1 wanted to become a ninja like the rest of the older boys but he was to young, he was only six the years old.One day @CAPS1 came running home,he wasn’t just running he was fliping, twirling @CAPS1 was acting like fire work, @CAPS1 came bursting threw the door, and said “mama mama im @CAPS2 old enough to be a ninga” said @CAPS1, and kins mom said “ well, sorry you can’t ninja training isn’t till another six years”said kins mother, “why now when I @CAPS2 turn twelve.” @CAPS1 replied “well the sensai in still on his training, so you’ll have to be patient” so @CAPS1 waited six long years and @CAPS2 became a ninja"	12	7		19				3	3	3	3	1	2	2	2	2	2.5	2.5	2.5
17871	7	"One in a land called @CAPS1 bokane there was a young named  @PERSON2. In the land of @CAPS2, all the people lived off the land. They believed that everything had a spirit, and when you died the spirit of judging decides what you will be in the next life. To the people of @CAPS2 honor was everythbing, and no person valued @CAPS6 more than the hunter @PERSON2. One day @PERSON2 and his friend @PERSON1 went into the sacred forest to hunt danes, a deer-like animal.  As they approached the hunting grounds, both men nocked their bows, and shimied up the trunk of an ancient oak. Both @PERSON2 and @PERSON1 waited for several hours before seeing a dane , and when they did, @PERSON1 had no arrow ready,@CAPS4 of this @PERSON2 got to kill @CAPS6. The dane looked at @PERSON2. @CAPS6 stared  at him. Unblinking pupils dialated. Snorting blue mist from its nose. Yet @PERSON2 did not take the shot. Instead the the dane fled into the treeline. “@CAPS5 did you not take the shot?’’ whispered @PERSON1. “@CAPS6 was to far away my friend. I was not sure one arrow would kill @CAPS6 wiithout pain.’’ @PERSON2 replied simply.The next day the pain returned to the woods and again a dane appeared. This time though @PERSON1 had an arrow ready,but @PERSON2 had rites to this dane as @CAPS6 was the same one from the day before. The dane’s rear was toward the pair, and again @CAPS6 was stai ring at @PERSON2. @PERSON2 simply steped back. Soon @PERSON1 took the shot since @PERSON2 would not. The arrow flew high and impaled the obsidian tip into an ash tree. “@CAPS5 did you not take the shot?’’ whispered @PERSON1. “@CAPS6 is not honorable to take the life of a beast with @CAPS6’s back turned.’’ @PERSON2 whispered back. On the third day the same dane stalked through the hunting grove of @PERSON2 and @LOCATION1. The dane walks through the grove from the left this time giving @PERSON2 a clear shot at its right flank.This shot @PERSON2 takes. The arrow flies tree and pierces the animals lungs and heart. “@CAPS9 the spirit judge @CAPS10 will be pleased.’’ @PERSON2 states as he corries his kill from the woods. In the end , patience rewards better than impatience. No matter the circumstances."	12	12		24				3	3	3	3	3	3	3	3	3	3	3	3
17872	7	"One time when I was patient was when me and my family, went on a fishing trip to @LOCATION1, @CAPS1.  Once we got on the boat it took @NUM1 minutes to go through the river. Then at @NUM2 we just waited, trolling through the water. Rocking side to side like a baby in its crib. Setting up all the poles and tures. Then around @NUM3 we got our first hit. My dad rushed over to get the pole and started reaching as fast as he could. Eventually he got it in it was a, @ORGANIZATION1 at @MONEY1. Then around @NUM4, another pole got a hit I rushed over grabbed the pole and started realing it in. With some help my fish turned out to be a king @ORGANIZATION1 that came in at @NUM5. and @NUM6 inches tall. That is why it always helps to be patient. You never know  what’s  going to happen if you are patient."	10	8		18				2	2	3	3	2	2	2	2	2	2	2.5	2.5
17873	7	"A long time ago me and my family were going to a cottage we owned. It was about a four hour drive. It is the funniest place to go to. I was so happy I couldn’t wait until we got there. I new I had to be patient. But I wanted to get there so bad. But if I would complain a lot I knew I would get in trouble. I know that because I had to learn the way. About a couple weeks before that we had to visit my grandma, she lived about two hours away. I kept complaining that it was taking to long. Then when we got home later on that hight I got my phone taken away for a week, so after that I knew not to complain ever again about something taking to long. So on our way to my grandma’s cottage I didn’t complain. Not complaining is smart to do. If you are unpatient don’t go on long trips. Its good to be patient since I was patient the whole ride to my grandmas my mom was happy with me. If you are patient people will know that you are a very tolerant person."	9	7		16				2	2	2	3	1	1	2	3	1.5	1.5	2	3
17874	7	"One time I went in the @CAPS1 and I had to sit in the visiting room/ area for about @NUM1 min- @NUM2 mins. I really didn’t care, because I had to go to school after I was done you could tell any me in was not very happy because your only sapose to be waiting for @NUM3 minutes. I finally got in and went to sit in the chair and they took my rubber bands off and I had to sit there and wait for about @NUM4 minutes. I was still being patient, because I didn’t want to go to school. I don’t like coming in the middle of class, because everybody stares at you. The doctor finaly came to check on me then I got different color rubber bands on. Also the doctor  came to see me and see if my bracese were all right. I finaly got out of the @CAPS1 oficce and it was about @NUM5 so I got to go home and I was happy."	11	9		20				3	3	2	3	2	2	2	3	2.5	2.5	2	3
17875	7	Their was a time when I was patient when I went to the barber shop and my family and I was going on a trip and I had to get my haircut the day before we left. I went to the barber shop was packed so the guy that cut my hair told me I was next in the chair. So then more and more people started coming in and he let those people jump in front of me so I just sat there and waitted. After those people were done he never call me up so he got on his phone and went outside. Then he told me wait until he came out the restroom then five more people came in so that’s when my mom called my phone and asked me was I done because I been up their from @NUM1 to @NUM2 and she said go to some one else chair because was was about to go somewhere. I still needed to pick my stuff will be leaving at @NUM3 a.m the next morning.	7	5		12				2	2	2	1	1	1	1	2	1.5	1.5	1.5	1.5
17876	7	"One @DATE1 week a couple of years ago my grandparents were over. We went to my @ORGANIZATION1’s sisters house and my @ORGANIZATION1 and aunt (my @ORGANIZATION1’s sister) were going to teach me hoe to tie my shoes because I was going into kindergarten and the teacher wouldn’t do it for you. They said if I learned to tie my shoes I would get to pick something out at the dollar store so that got me all excited! When we got their after I had lunch they began teaching me. The tirck they taught me went like this: after you have the first crossover step you make the bop(tree) and you put the other string around it (the bunny loving around the tree. @CAPS1 you put it through (the bunny darling in its hole.) @CAPS1 you’re bond. After many tries was starting to get the hang of it. Later we went back to my house and my @ORGANIZATION1 kept helping me. Finally one afternoon I got it, my @ORGANIZATION1 was happy and she kept telling me good job. Later we went to the store and picked something out! My @ORGANIZATION1 had to be patient with me. She wasn’t getting all mad when I kept messing up she just kept being encouraging and patient. My @ORGANIZATION1 was patient and it helped me learn faster."	8	11		19				2	2	2	2	3	3	2	3	2.5	2.5	2	2.5
